Port of Entry,Type of Visit,Origin,Month,Number of Visitors
NMIA,WED,COSTA RICA,JUNE,3.0
NMIA,WED,COSTA RICA,JULY,0.0
NMIA,WED,COSTA RICA,AUGUST,0.0
NMIA,WED,COSTA RICA,SEPTEMBER,0.0
NMIA,WED,COSTA RICA,OCTOBER,0.0
NMIA,WED,COSTA RICA,NOVEMBER,0.0
NMIA,WED,COSTA RICA,DECEMBER,0.0
NMIA,WED,CUBA,JANUARY,0.0
NMIA,WED,CUBA,FEBRUARY,0.0
NMIA,WED,CUBA,MARCH,1.0
NMIA,WED,CUBA,APRIL,0.0
NMIA,WED,CUBA,MAY,0.0
NMIA,WED,CUBA,JUNE,3.0
NMIA,WED,CUBA,JULY,0.0
NMIA,WED,CUBA,AUGUST,0.0
NMIA,WED,CUBA,SEPTEMBER,0.0
NMIA,WED,CUBA,OCTOBER,0.0
NMIA,WED,CUBA,NOVEMBER,0.0
NMIA,WED,CUBA,DECEMBER,2.0
NMIA,WED,CURACAO,JANUARY,0.0
NMIA,WED,CURACAO,FEBRUARY,0.0
NMIA,WED,CURACAO,MARCH,3.0
NMIA,WED,CURACAO,APRIL,0.0
NMIA,WED,CURACAO,MAY,2.0
NMIA,WED,CURACAO,JUNE,3.0
NMIA,WED,CURACAO,JULY,0.0
NMIA,WED,CURACAO,AUGUST,0.0
NMIA,WED,CURACAO,SEPTEMBER,0.0
NMIA,WED,CURACAO,OCTOBER,0.0
NMIA,WED,CURACAO,NOVEMBER,1.0
NMIA,WED,CURACAO,DECEMBER,0.0
NMIA,WED,DENMARK,JANUARY,0.0
NMIA,WED,DENMARK,FEBRUARY,0.0
NMIA,WED,DENMARK,MARCH,0.0
NMIA,WED,DENMARK,APRIL,0.0
NMIA,WED,DENMARK,MAY,0.0
NMIA,WED,DENMARK,JUNE,0.0
NMIA,WED,DENMARK,JULY,0.0
NMIA,WED,DENMARK,AUGUST,1.0
NMIA,WED,DENMARK,SEPTEMBER,2.0
NMIA,WED,DENMARK,OCTOBER,0.0
NMIA,WED,DENMARK,NOVEMBER,0.0
NMIA,WED,DENMARK,DECEMBER,2.0
NMIA,WED,DOMINICA,JANUARY,0.0
NMIA,WED,DOMINICA,FEBRUARY,0.0
NMIA,WED,DOMINICA,MARCH,1.0
NMIA,WED,DOMINICA,APRIL,0.0
NMIA,WED,DOMINICA,MAY,0.0
NMIA,WED,DOMINICA,JUNE,0.0
NMIA,WED,DOMINICA,JULY,0.0
NMIA,WED,DOMINICA,AUGUST,0.0
NMIA,WED,DOMINICA,SEPTEMBER,0.0
NMIA,WED,DOMINICA,OCTOBER,0.0
NMIA,WED,DOMINICA,NOVEMBER,2.0
NMIA,WED,DOMINICA,DECEMBER,1.0
NMIA,WED,DOMINICAN REPUBLIC,JANUARY,0.0
NMIA,WED,DOMINICAN REPUBLIC,FEBRUARY,0.0
NMIA,WED,DOMINICAN REPUBLIC,MARCH,0.0
NMIA,WED,DOMINICAN REPUBLIC,APRIL,0.0
NMIA,WED,DOMINICAN REPUBLIC,MAY,0.0
NMIA,WED,DOMINICAN REPUBLIC,JUNE,1.0
NMIA,WED,DOMINICAN REPUBLIC,JULY,0.0
NMIA,WED,DOMINICAN REPUBLIC,AUGUST,0.0
NMIA,WED,DOMINICAN REPUBLIC,SEPTEMBER,0.0
NMIA,WED,DOMINICAN REPUBLIC,OCTOBER,0.0
NMIA,WED,DOMINICAN REPUBLIC,NOVEMBER,1.0
NMIA,WED,DOMINICAN REPUBLIC,DECEMBER,0.0
NMIA,WED,FRANCE,JANUARY,0.0
NMIA,WED,FRANCE,FEBRUARY,0.0
NMIA,WED,FRANCE,MARCH,0.0
NMIA,WED,FRANCE,APRIL,2.0
NMIA,WED,FRANCE,MAY,0.0
NMIA,WED,FRANCE,JUNE,2.0
NMIA,WED,FRANCE,JULY,0.0
NMIA,WED,FRANCE,AUGUST,3.0
NMIA,WED,FRANCE,SEPTEMBER,0.0
NMIA,WED,FRANCE,OCTOBER,0.0
NMIA,WED,FRANCE,NOVEMBER,2.0
NMIA,WED,FRANCE,DECEMBER,0.0
NMIA,WED,GERMANY,JANUARY,2.0
NMIA,WED,GERMANY,FEBRUARY,0.0
NMIA,WED,GERMANY,MARCH,0.0
NMIA,WED,GERMANY,APRIL,0.0
NMIA,WED,GERMANY,MAY,0.0
NMIA,WED,GERMANY,JUNE,0.0
NMIA,WED,GERMANY,JULY,0.0
NMIA,WED,GERMANY,AUGUST,1.0
NMIA,WED,GERMANY,SEPTEMBER,0.0
NMIA,WED,GERMANY,OCTOBER,3.0
NMIA,WED,GERMANY,NOVEMBER,0.0
NMIA,WED,GERMANY,DECEMBER,2.0
NMIA,WED,GREECE,JANUARY,0.0
NMIA,WED,GREECE,FEBRUARY,0.0
NMIA,WED,GREECE,MARCH,0.0
NMIA,WED,GREECE,APRIL,0.0
NMIA,WED,GREECE,MAY,0.0
NMIA,WED,GREECE,JUNE,0.0
NMIA,WED,GREECE,JULY,0.0
NMIA,WED,GREECE,AUGUST,3.0
NMIA,WED,GREECE,SEPTEMBER,0.0
NMIA,WED,GREECE,OCTOBER,0.0
NMIA,WED,GREECE,NOVEMBER,2.0
NMIA,WED,GREECE,DECEMBER,0.0
NMIA,WED,GRENADA,JANUARY,0.0
NMIA,WED,GRENADA,FEBRUARY,0.0
NMIA,WED,GRENADA,MARCH,0.0
NMIA,WED,GRENADA,APRIL,0.0
NMIA,WED,GRENADA,MAY,0.0
NMIA,WED,GRENADA,JUNE,0.0
NMIA,WED,GRENADA,JULY,0.0
NMIA,WED,GRENADA,AUGUST,1.0
NMIA,WED,GRENADA,SEPTEMBER,0.0
NMIA,WED,GRENADA,OCTOBER,0.0
NMIA,WED,GRENADA,NOVEMBER,0.0
NMIA,WED,GRENADA,DECEMBER,0.0
NMIA,WED,GUATEMALA,JANUARY,0.0
NMIA,WED,GUATEMALA,FEBRUARY,0.0
NMIA,WED,GUATEMALA,MARCH,0.0
NMIA,WED,GUATEMALA,APRIL,0.0
NMIA,WED,GUATEMALA,MAY,0.0
NMIA,WED,GUATEMALA,JUNE,0.0
NMIA,WED,GUATEMALA,JULY,0.0
NMIA,WED,GUATEMALA,AUGUST,0.0
NMIA,WED,GUATEMALA,SEPTEMBER,0.0
NMIA,WED,GUATEMALA,OCTOBER,0.0
NMIA,WED,GUATEMALA,NOVEMBER,0.0
NMIA,WED,GUATEMALA,DECEMBER,1.0
NMIA,WED,GUYANA,JANUARY,1.0
NMIA,WED,GUYANA,FEBRUARY,2.0
NMIA,WED,GUYANA,MARCH,0.0
NMIA,WED,GUYANA,APRIL,7.0
NMIA,WED,GUYANA,MAY,3.0
NMIA,WED,GUYANA,JUNE,12.0
NMIA,WED,GUYANA,JULY,5.0
NMIA,WED,GUYANA,AUGUST,17.0
NMIA,WED,GUYANA,SEPTEMBER,3.0
NMIA,WED,GUYANA,OCTOBER,3.0
NMIA,WED,GUYANA,NOVEMBER,1.0
NMIA,WED,GUYANA,DECEMBER,6.0
NMIA,WED,HAITI,JANUARY,0.0
NMIA,WED,HAITI,FEBRUARY,0.0
NMIA,WED,HAITI,MARCH,0.0
NMIA,WED,HAITI,APRIL,0.0
NMIA,WED,HAITI,MAY,0.0
NMIA,WED,HAITI,JUNE,0.0
NMIA,WED,HAITI,JULY,1.0
NMIA,WED,HAITI,AUGUST,0.0
NMIA,WED,HAITI,SEPTEMBER,0.0
NMIA,WED,HAITI,OCTOBER,1.0
NMIA,WED,HAITI,NOVEMBER,0.0
NMIA,WED,HAITI,DECEMBER,0.0
NMIA,WED,HOLLAND,JANUARY,0.0
NMIA,WED,HOLLAND,FEBRUARY,0.0
NMIA,WED,HOLLAND,MARCH,0.0
NMIA,WED,HOLLAND,APRIL,0.0
NMIA,WED,HOLLAND,MAY,1.0
NMIA,WED,HOLLAND,JUNE,1.0
NMIA,WED,HOLLAND,JULY,2.0
NMIA,WED,HOLLAND,AUGUST,1.0
NMIA,WED,HOLLAND,SEPTEMBER,3.0
NMIA,WED,HOLLAND,OCTOBER,0.0
NMIA,WED,HOLLAND,NOVEMBER,0.0
NMIA,WED,HOLLAND,DECEMBER,0.0
NMIA,WED,HUNGARY,JANUARY,0.0
NMIA,WED,HUNGARY,FEBRUARY,0.0
NMIA,WED,HUNGARY,MARCH,0.0
NMIA,WED,HUNGARY,APRIL,0.0
NMIA,WED,HUNGARY,MAY,2.0
NMIA,WED,HUNGARY,JUNE,0.0
NMIA,WED,HUNGARY,JULY,0.0
NMIA,WED,HUNGARY,AUGUST,0.0
NMIA,WED,HUNGARY,SEPTEMBER,0.0
NMIA,WED,HUNGARY,OCTOBER,0.0
NMIA,WED,HUNGARY,NOVEMBER,0.0
NMIA,WED,HUNGARY,DECEMBER,0.0
NMIA,WED,INDIA,JANUARY,0.0
NMIA,WED,INDIA,FEBRUARY,2.0
NMIA,WED,INDIA,MARCH,0.0
NMIA,WED,INDIA,APRIL,0.0
NMIA,WED,INDIA,MAY,0.0
NMIA,WED,INDIA,JUNE,1.0
NMIA,WED,INDIA,JULY,0.0
NMIA,WED,INDIA,AUGUST,1.0
NMIA,WED,INDIA,SEPTEMBER,0.0
NMIA,WED,INDIA,OCTOBER,0.0
NMIA,WED,INDIA,NOVEMBER,0.0
NMIA,WED,INDIA,DECEMBER,2.0
NMIA,WED,ISREAL,JANUARY,0.0
NMIA,WED,ISREAL,FEBRUARY,0.0
NMIA,WED,ISREAL,MARCH,0.0
NMIA,WED,ISREAL,APRIL,0.0
NMIA,WED,ISREAL,MAY,2.0
NMIA,WED,ISREAL,JUNE,0.0
NMIA,WED,ISREAL,JULY,0.0
NMIA,WED,ISREAL,AUGUST,3.0
NMIA,WED,ISREAL,SEPTEMBER,5.0
NMIA,WED,ISREAL,OCTOBER,0.0
NMIA,WED,ISREAL,NOVEMBER,0.0
NMIA,WED,ISREAL,DECEMBER,0.0
NMIA,WED,ITALY,JANUARY,0.0
NMIA,WED,ITALY,FEBRUARY,0.0
NMIA,WED,ITALY,MARCH,0.0
NMIA,WED,ITALY,APRIL,1.0
NMIA,WED,ITALY,MAY,2.0
NMIA,WED,ITALY,JUNE,6.0
NMIA,WED,ITALY,JULY,2.0
NMIA,WED,ITALY,AUGUST,5.0
NMIA,WED,ITALY,SEPTEMBER,2.0
NMIA,WED,ITALY,OCTOBER,0.0
NMIA,WED,ITALY,NOVEMBER,2.0
NMIA,WED,ITALY,DECEMBER,2.0
NMIA,WED,JAPAN,JANUARY,0.0
NMIA,WED,JAPAN,FEBRUARY,0.0
NMIA,WED,JAPAN,MARCH,1.0
NMIA,WED,JAPAN,APRIL,2.0
NMIA,WED,JAPAN,MAY,2.0
NMIA,WED,JAPAN,JUNE,2.0
NMIA,WED,JAPAN,JULY,2.0
NMIA,WED,JAPAN,AUGUST,0.0
NMIA,WED,JAPAN,SEPTEMBER,5.0
NMIA,WED,JAPAN,OCTOBER,0.0
NMIA,WED,JAPAN,NOVEMBER,3.0
NMIA,WED,JAPAN,DECEMBER,4.0
NMIA,WED,KOREA,JANUARY,0.0
NMIA,WED,KOREA,FEBRUARY,2.0
NMIA,WED,KOREA,MARCH,0.0
NMIA,WED,KOREA,APRIL,0.0
NMIA,WED,KOREA,MAY,1.0
NMIA,WED,KOREA,JUNE,0.0
NMIA,WED,KOREA,JULY,0.0
NMIA,WED,KOREA,AUGUST,0.0
NMIA,WED,KOREA,SEPTEMBER,0.0
NMIA,WED,KOREA,OCTOBER,3.0
NMIA,WED,KOREA,NOVEMBER,0.0
NMIA,WED,KOREA,DECEMBER,3.0
NMIA,WED,MEXICO,JANUARY,1.0
NMIA,WED,MEXICO,FEBRUARY,0.0
NMIA,WED,MEXICO,MARCH,1.0
NMIA,WED,MEXICO,APRIL,9.0
NMIA,WED,MEXICO,MAY,0.0
NMIA,WED,MEXICO,JUNE,0.0
NMIA,WED,MEXICO,JULY,1.0
NMIA,WED,MEXICO,AUGUST,0.0
NMIA,WED,MEXICO,SEPTEMBER,2.0
NMIA,WED,MEXICO,OCTOBER,4.0
NMIA,WED,MEXICO,NOVEMBER,0.0
NMIA,WED,MEXICO,DECEMBER,2.0
NMIA,WED,MIDDLE EAST,JANUARY,0.0
NMIA,WED,MIDDLE EAST,FEBRUARY,0.0
NMIA,WED,MIDDLE EAST,MARCH,0.0
NMIA,WED,MIDDLE EAST,APRIL,0.0
NMIA,WED,MIDDLE EAST,MAY,0.0
NMIA,WED,MIDDLE EAST,JUNE,0.0
NMIA,WED,MIDDLE EAST,JULY,0.0
NMIA,WED,MIDDLE EAST,AUGUST,0.0
NMIA,WED,MIDDLE EAST,SEPTEMBER,1.0
NMIA,WED,MIDDLE EAST,OCTOBER,0.0
NMIA,WED,MIDDLE EAST,NOVEMBER,0.0
NMIA,WED,MIDDLE EAST,DECEMBER,0.0
NMIA,WED,MONSTERRAT,JANUARY,0.0
NMIA,WED,MONSTERRAT,FEBRUARY,0.0
NMIA,WED,MONSTERRAT,MARCH,0.0
NMIA,WED,MONSTERRAT,APRIL,0.0
NMIA,WED,MONSTERRAT,MAY,0.0
NMIA,WED,MONSTERRAT,JUNE,1.0
NMIA,WED,MONSTERRAT,JULY,0.0
NMIA,WED,MONSTERRAT,AUGUST,0.0
NMIA,WED,MONSTERRAT,SEPTEMBER,0.0
NMIA,WED,MONSTERRAT,OCTOBER,0.0
NMIA,WED,MONSTERRAT,NOVEMBER,10.0
NMIA,WED,MONSTERRAT,DECEMBER,0.0
NMIA,WED,NEW ZEALAND,JANUARY,0.0
NMIA,WED,NEW ZEALAND,FEBRUARY,0.0
NMIA,WED,NEW ZEALAND,MARCH,0.0
NMIA,WED,NEW ZEALAND,APRIL,2.0
